code,first_letter,level,name,parent_code,region
220106,l,3,绿园区,220100,0
220112,s,3,双阳区,220100,0
220113,j,3,九台区,220100,0
220122,n,3,农安县,220100,0
220182,y,3,榆树市,220100,0
220183,d,3,德惠市,220100,0
220202,c,3,昌邑区,220200,0
220203,l,3,龙潭区,220200,0
220204,c,3,船营区,220200,0
220211,f,3,丰满区,220200,0
220221,y,3,永吉县,220200,0
220281,j,3,蛟河市,220200,0
220282,h,3,桦甸市,220200,0
220283,s,3,舒兰市,220200,0
220284,p,3,磐石市,220200,0
220302,t,3,铁西区,220300,0
220303,t,3,铁东区,220300,0
220322,l,3,梨树县,220300,0
220323,y,3,伊通满族自治县,220300,0
220381,g,3,公主岭市,220300,0
220382,s,3,双辽市,220300,0
220402,l,3,龙山区,220400,0
220403,x,3,西安区,220400,0
220421,d,3,东丰县,220400,0
220422,d,3,东辽县,220400,0
220502,d,3,东昌区,220500,0
220503,e,3,二道江区,220500,0
220521,t,3,通化县,220500,0
220523,h,3,辉南县,220500,0
220524,l,3,柳河县,220500,0
220581,m,3,梅河口市,220500,0
220582,j,3,集安市,220500,0
220602,h,3,浑江区,220600,0
220605,j,3,江源区,220600,0
220621,f,3,抚松县,220600,0
220622,j,3,靖宇县,220600,0
220623,z,3,长白朝鲜族自治县,220600,0
220681,l,3,临江市,220600,0
220702,n,3,宁江区,220700,0
220721,q,3,前郭尔罗斯蒙古族自治县,220700,0
220722,z,3,长岭县,220700,0
220723,q,3,乾安县,220700,0
220781,f,3,扶余市,220700,0
220802,t,3,洮北区,220800,0
220821,z,3,镇赉县,220800,0
220822,t,3,通榆县,220800,0
220881,t,3,洮南市,220800,0
220882,d,3,大安市,220800,0
222401,y,3,延吉市,222400,0
222402,t,3,图们市,222400,0
222403,d,3,敦化市,222400,0
222404,h,3,珲春市,222400,0
222405,l,3,龙井市,222400,0
222406,h,3,和龙市,222400,0
222424,w,3,汪清县,222400,0
222426,a,3,安图县,222400,0
230102,d,3,道里区,230100,0
230103,n,3,南岗区,230100,0
230104,d,3,道外区,230100,0
230108,p,3,平房区,230100,0
230109,s,3,松北区,230100,0
230110,x,3,香坊区,230100,0
230111,h,3,呼兰区,230100,0
230112,a,3,阿城区,230100,0
230113,s,3,双城区,230100,0
230123,y,3,依兰县,230100,0
230124,f,3,方正县,230100,0
230125,b,3,宾县,230100,0
230126,b,3,巴彦县,230100,0
230127,m,3,木兰县,230100,0
230128,t,3,通河县,230100,0
230129,y,3,延寿县,230100,0
230183,s,3,尚志市,230100,0
230184,w,3,五常市,230100,0
230202,l,3,龙沙区,230200,0
230203,j,3,建华区,230200,0
230204,t,3,铁锋区,230200,0
230205,a,3,昂昂溪区,230200,0
230206,f,3,富拉尔基区,230200,0
230207,n,3,碾子山区,230200,0
230208,m,3,梅里斯达斡尔族区,230200,0
230221,l,3,龙江县,230200,0
230223,y,3,依安县,230200,0
230224,t,3,泰来县,230200,0
230225,g,3,甘南县,230200,0
230227,f,3,富裕县,230200,0
230229,k,3,克山县,230200,0
230230,k,3,克东县,230200,0
230231,b,3,拜泉县,230200,0
230281,n,3,讷河市,230200,0
230302,j,3,鸡冠区,230300,0
230303,h,3,恒山区,230300,0
230304,d,3,滴道区,230300,0
230305,l,3,梨树区,230300,0
230306,c,3,城子河区,230300,0
230307,m,3,麻山区,230300,0
230321,j,3,鸡东县,230300,0
230381,h,3,虎林市,230300,0
230382,m,3,密山市,230300,0
230402,x,3,向阳区,230400,0
230403,g,3,工农区,230400,0
230404,n,3,南山区,230400,0
230405,x,3,兴安区,230400,0
230406,d,3,东山区,230400,0
230407,x,3,兴山区,230400,0
230421,l,3,萝北县,230400,0
230422,s,3,绥滨县,230400,0
230502,j,3,尖山区,230500,0
230503,l,3,岭东区,230500,0
230505,s,3,四方台区,230500,0
230506,b,3,宝山区,230500,0
230521,j,3,集贤县,230500,0
230522,y,3,友谊县,230500,0
230523,b,3,宝清县,230500,0
230524,r,3,饶河县,230500,0
230602,s,3,萨尔图区,230600,0
230603,l,3,龙凤区,230600,0
230604,r,3,让胡路区,230600,0
230605,h,3,红岗区,230600,0
230606,d,3,大同区,230600,0
230621,z,3,肇州县,230600,0
230622,z,3,肇源县,230600,0
230623,l,3,林甸县,230600,0
230624,d,3,杜尔伯特蒙古族自治县,230600,0
230717,y,3,伊美区,230700,0
230718,w,3,乌翠区,230700,0
230719,y,3,友好区,230700,0
230720,j,3,金林区,230700,0
230722,j,3,嘉荫县,230700,0
230723,t,3,汤旺县,230700,0
230724,f,3,丰林县,230700,0
230725,n,3,南岔县,230700,0
230726,d,3,大箐山县,230700,0
230781,t,3,铁力市,230700,0
230803,x,3,向阳区,230800,0
230804,q,3,前进区,230800,0
230805,d,3,东风区,230800,0
230811,j,3,郊区,230800,0
230822,h,3,桦南县,230800,0
230826,h,3,桦川县,230800,0
